run_name,datetime,hyperparameters,epoch,train_loss,test_loss,accuracy_top1
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0196,2.4314,0.6701
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0114,2.3851,0.6852
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0068,2.3100,0.6955
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0044,2.2648,0.6972
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0029,2.2383,0.7023
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.2157,0.7033
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.2185,0.7029
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.2172,0.7035
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.2183,0.7035
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.2181,0.7037
prod_42,2025-07-22 17:22:02,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.2172,0.7034
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.6354,10.0307,0.0051
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.3412,9.0981,0.0316
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.6252,7.9530,0.0608
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.7063,7.2106,0.0874
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.8408,7.0034,0.0976
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.2314,8.0103,0.0874
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.7402,4.0968,0.3344
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.2417,3.3796,0.4511
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6298,3.4342,0.4690
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3237,3.3772,0.5009
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1741,3.0418,0.5548
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1041,2.9535,0.5897
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0575,2.7315,0.6220
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0333,2.6591,0.6431
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0196,2.4314,0.6701
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0114,2.3851,0.6852
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0068,2.3100,0.6955
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0044,2.2648,0.6972
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0029,2.2383,0.7023
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.2157,0.7033
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.2185,0.7029
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.2172,0.7035
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.2183,0.7035
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.2181,0.7037
prod_42,2025-07-22 18:13:01,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.2172,0.7034
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.6744,10.0693,0.0058
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.4256,9.2233,0.0295
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.7218,8.0150,0.0565
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.7994,7.3164,0.0801
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.9213,7.1048,0.0923
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.2691,8.0903,0.1002
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.7609,4.3211,0.3394
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.2493,3.2966,0.4721
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6333,3.5234,0.4571
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3256,3.0810,0.5406
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1760,3.1147,0.5552
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.0983,2.8400,0.5976
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0525,2.6899,0.6303
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0315,2.6377,0.6368
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0204,2.5647,0.6644
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0117,2.3969,0.6802
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0066,2.3426,0.6893
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0042,2.3103,0.6937
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0030,2.2817,0.6965
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0022,2.2679,0.6984
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.2664,0.6993
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.2654,0.6996
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.2638,0.6996
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.2659,0.6994
prod_0,2025-07-22 19:01:05,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.2641,0.6999
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.7312,10.2369,0.0046
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.5587,9.2820,0.0290
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.8463,8.2856,0.0502
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.8960,7.4864,0.0726
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.9917,7.2494,0.0838
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.3731,8.3528,0.0769
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.8316,4.4315,0.3251
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.2836,3.3050,0.4654
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6343,3.2373,0.5004
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3349,3.1006,0.5244
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1792,3.0429,0.5684
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1015,2.8801,0.5954
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0556,2.7626,0.6164
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0328,2.6431,0.6394
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0180,2.4908,0.6689
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0108,2.3514,0.6854
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0066,2.3313,0.6910
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0041,2.2913,0.6942
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0029,2.2623,0.6968
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.2461,0.6983
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0017,2.2468,0.6988
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.2465,0.6987
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0013,2.2463,0.6990
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.2469,0.6989
prod_1,2025-07-22 19:50:20,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.2476,0.6994
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.7077,10.1203,0.0063
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.5283,9.4594,0.0287
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.8274,8.3076,0.0505
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.9011,7.5314,0.0704
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.9976,7.3122,0.0815
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.4519,8.4573,0.0829
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.9540,4.2961,0.3173
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.3746,3.7879,0.4170
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6956,3.3897,0.4759
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3619,3.3453,0.5000
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1795,3.3807,0.5185
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1001,3.1346,0.5660
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0549,2.7912,0.6096
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0311,2.7862,0.6259
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0204,2.5704,0.6521
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0112,2.5611,0.6641
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0074,2.4464,0.6778
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0040,2.4098,0.6794
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0027,2.3864,0.6808
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.3828,0.6829
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0017,2.3807,0.6833
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.3773,0.6834
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.3782,0.6837
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.3796,0.6839
prod_2,2025-07-22 20:40:39,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0013,2.3772,0.6836
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",1,9.6666,9.9308,0.0075
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",2,8.3838,8.9746,0.0359
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",3,5.6158,7.8906,0.0634
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",4,3.6951,7.1638,0.0858
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",5,2.8245,6.9454,0.0995
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",6,4.1890,7.8131,0.1179
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",7,2.6707,4.4267,0.3081
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",8,1.1930,3.6017,0.4405
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",9,0.6083,3.3779,0.4928
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",10,0.3171,2.9566,0.5492
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",11,0.1677,3.1715,0.5463
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",12,0.1007,2.8299,0.5852
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",13,0.0586,2.6398,0.6307
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",14,0.0327,2.5710,0.6499
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",15,0.0196,2.4044,0.6790
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",16,0.0113,2.3940,0.6858
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",17,0.0069,2.2401,0.7010
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",18,0.0042,2.1780,0.7079
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",19,0.0026,2.1701,0.7088
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.1645,0.7104
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",21,0.0017,2.1637,0.7111
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.1608,0.7108
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",23,0.0013,2.1592,0.7108
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.1589,0.7108
prod_3,2025-07-22 21:29:51,"{'device': 'xla', 'lr': 0.01, 'model': 'resnet18'}",25,0.0012,2.1593,0.7108
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",1,9.6542,10.0473,0.0067
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",2,8.3727,9.2215,0.0306
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",3,5.6631,8.0869,0.0556
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",4,3.7458,7.3340,0.0798
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",5,2.8791,7.1324,0.0902
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",6,4.3352,7.1312,0.1209
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",7,2.8668,4.7687,0.2676
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",8,1.3244,3.7040,0.4034
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",9,0.6862,3.4833,0.4617
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",10,0.3500,3.1717,0.5167
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",11,0.1828,3.0556,0.5543
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",12,0.1046,2.9778,0.5755
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",13,0.0574,2.7065,0.6210
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",14,0.0320,2.7503,0.6459
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",15,0.0189,2.4892,0.6651
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",16,0.0107,2.4916,0.6741
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",17,0.0065,2.3881,0.6812
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",18,0.0044,2.3785,0.6844
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",19,0.0030,2.3277,0.6891
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.3255,0.6907
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.3180,0.6916
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.3156,0.6914
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.3177,0.6918
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.3158,0.6917
prod_42,2025-07-22 17:21:49,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",25,0.0013,2.3163,0.6917
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",1,9.6542,10.0473,0.0067
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",2,8.3727,9.2215,0.0306
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",3,5.6631,8.0869,0.0556
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",4,3.7458,7.3340,0.0798
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",5,2.8791,7.1324,0.0902
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",6,4.3366,7.7417,0.0815
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",7,2.8554,4.5470,0.2979
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",8,1.3289,3.6283,0.4132
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",9,0.6798,3.3292,0.4766
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",10,0.3461,3.6939,0.4672
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",11,0.1908,3.5434,0.5141
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",12,0.1086,2.8930,0.5895
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",13,0.0566,2.7392,0.6183
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",14,0.0308,2.7376,0.6406
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",15,0.0179,2.4831,0.6642
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",16,0.0114,2.4775,0.6738
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",17,0.0063,2.3862,0.6824
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",18,0.0043,2.3690,0.6866
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",19,0.0029,2.3281,0.6888
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",20,0.0021,2.3202,0.6907
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",21,0.0018,2.3164,0.6906
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",22,0.0015,2.3144,0.6912
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",23,0.0014,2.3159,0.6907
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",24,0.0013,2.3153,0.6907
prod_42,2025-07-22 18:26:35,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",25,0.0013,2.3153,0.6912
prod_0,2025-07-22 19:30:47,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",1,9.6717,10.3248,0.0062
prod_0,2025-07-22 19:30:47,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",2,8.3916,9.2942,0.0332
prod_0,2025-07-22 19:30:47,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",3,5.6858,8.0167,0.0594
prod_0,2025-07-22 19:30:47,"{'device': 'cuda', 'lr': 0.01, 'model': 'resnet18'}",4,3.7706,7.3171,0.0825
